character_id,raw_character_text
925.0,Guy #1
926.0,Guy #2
927.0,Chef
928.0,Waiter #2
929.0,Old Man
930.0,Attorney
931.0,Mailman
932.0,Delivery Boy
933.0,Fat Foreman
934.0,Old Woman
935.0,RICARDO
936.0,Alan Thicke
937.0,Adjuster
938.0,Model
939.0,Second Man
940.0,German Engineer
941.0,Adam West
942.0,President Bush
944.0,Captain Horatio McCallister
945.0,Linda Ronstadt
946.0,Teenage Barney
948.0,Copy Writer
949.0,Cameraman
950.0,Bigfoot
951.0,Mountain Goat
952.0,Fruit Vendor
953.0,Irish Lady
954.0,Italian Lady
955.0,Talk Show Host
956.0,Sidekick
957.0,Realtor
958.0,Ad Man
959.0,Female Messenger
960.0,Clown Bed
961.0,Korean Gymnast
962.0,Pig
963.0,Hans Moleman
964.0,Gas Station Boy
965.0,Billy
966.0,Homer's Spirit
967.0,INTERCOM
968.0,Reporters
969.0,Sunday School Teacher
970.0,VIDEO TAPE NARRATOR
971.0,Pumpkin Man
972.0,Med Students
973.0,Handsome Young Man
974.0,Andre
975.0,Young Riviera
976.0,Angry Man
977.0,Warrior
978.0,LANLEY
979.0,Truckosaurus
980.0,Sebastian Kobb
981.0,Woman With Baby
982.0,Baby
983.0,NIMOY
984.0,Engineer #1
985.0,Haverbrook Man
986.0,Bart Anchor
987.0,Lance Murdock
988.0,2nd Announcer
989.0,Homer's Thought Bubble
990.0,Reverend
991.0,Aunt Gladys's Corpse
992.0,Aunt Gladys
993.0,HUTZ' VOICE
994.0,MR. HUTZ
995.0,Princess Opal
996.0,Bag Boy
997.0,Waitress #2
998.0,Sperm Doctor
1000.0,MAN ON RADIO
1001.0,Surly
1002.0,Attractive Woman
1003.0,Man On Tv
1004.0,Beer Singers
1006.0,Security Man
1007.0,Washington
1008.0,Man In White Coat
1009.0,Boys
1010.0,Santa's Little Helper
1011.0,Homer's Bloody Skull
1012.0,Sketch Announcer
1013.0,Agency Worker
1014.0,Fans
1015.0,Small Man
1016.0,Chihuahua
1017.0,Cat
1018.0,Corey
1019.0,Pepi
1020.0,Apu's Brain
1021.0,JOHNNY
1022.0,Truck Driver
1023.0,Rex
1024.0,Homer's Conscience
1025.0,Robert Frost
1026.0,FROST
1027.0,Raheem
1028.0,Presidents
1029.0,Harrison
1030.0,Presidents' Heads
1031.0,Teddy Roosevelt
1032.0,3rd World Father
1033.0,3rd World Family
1035.0,Tourists
1036.0,Cartoon Doctor
1037.0,Richard Nixon
1038.0,Kennedy
1039.0,Mrs. Phillips
1040.0,Assembly
1041.0,Chuck's Dad
1043.0,Parent One
1044.0,Parent Two
1045.0,Feminists
1046.0,Baseball Announcer
1047.0,Train
1048.0,Receiver
1049.0,Burns' Grandfather
1050.0,Dr. Wolfe
1051.0,Gummy Joe
1052.0,Donut Vendor
1053.0,Mop Top #1
1054.0,Mop Top #2
1055.0,Mop Top #3
1056.0,Mop Tops
1057.0,Goon
1059.0,Quigley
1060.0,Robots
1061.0,DR. JOYCE
1062.0,Pagan Simpsons
1063.0,Waiterscooks
1064.0,Specialist
1065.0,Intern
1066.0,Elvis
1068.0,Writer
1069.0,Roxie
1070.0,Bobby Mindich
1071.0,ARTIE
1072.0,Barney's Boss
1073.0,Writer #2
1074.0,Cowboys
1075.0,BROOKE
1076.0,Child
1078.0,Gary Chalmers
1079.0,Scottish Woman
1080.0,Exhaust Pipe Lid
1081.0,Chicken
1082.0,Mr. Ogden
1083.0,Scientist #1
1084.0,Scientist #2
1085.0,Evil Homer
1086.0,Hitler
1087.0,Recruiter
1088.0,Actor
1089.0,Teenaged Guide
1090.0,Children's Choir
1091.0,Boy Soloist
1092.0,Driver Of Foreign Car
1093.0,Barry White
1094.0,Miss Springfield
1095.0,Irishman
1096.0,Old Mrs. Glick
1097.0,SICK JAPANESE WORKER
1098.0,Japanese Worker #2
1100.0,White Blood Cell #1
1101.0,White Blood Cell #2
1102.0,Virus
1103.0,JAMAICAN MAN
1104.0,Husband
1105.0,Jury
1106.0,David Crosby
1107.0,Jury Foreman
1108.0,Warden
1109.0,Phillips
1110.0,Tattoo Annie
1111.0,Park Commissioner
1112.0,Assistant
1114.0,McBain
1117.0,Gabbo
1118.0,CRANDALL
1119.0,Soldier Puppets
1120.0,Cossack Puppets
1121.0,Alphonse
1122.0,Commercial Announcer
1123.0,Casting Director
1124.0,Old Man Singers
1125.0,Bette Midler
1126.0,Hugh Hefner
1127.0,Anthony Kiedis
1128.0,Flea
1129.0,Elizabeth Taylor
1130.0,Counter Boy
1131.0,Mr. Johannson
1132.0,Luke Perry
1134.0,Chad Smith
1135.0,ARIK MARSHAL
1136.0,Krusty Announcer
1138.0,Man At Table
1139.0,SPEEDED UP VOICES
1140.0,Melvin
1141.0,Quartet
1142.0,Tenor
1143.0,Be Sharps
1144.0,Paul Harvey
1145.0,Ronald Reagan
1146.0,Panicky Man
1147.0,Sarah Wiggum
1148.0,Female Talk Show Host
1149.0,George Harrison
1150.0,2-Year-Old Lisa
1151.0,Teenage Bellboy
1152.0,Surly Man
1153.0,Kako
1154.0,Human Fly
1155.0,Sinister Male Voice
1156.0,Schoolyard Girls
1157.0,MRS KRABAPPEL
1158.0,Parole Board Head
1159.0,People In Court
1160.0,Parole Board Member #1
1161.0,Parole Board
1162.0,Parole Board Member #2
1163.0,Man On Screen
1164.0,Woman On Tape
1165.0,Investigator
1166.0,Celestial Choir
1167.0,Woman's Voice
1168.0,Nrc Woman
1169.0,Nrc Man
1170.0,Dumb Employee #1
1171.0,Dumb Employee #2
1172.0,Counselor
1173.0,Admissions Man
1174.0,Admissions Woman
1175.0,Hillbilly Man
1176.0,Angry Dean
1177.0,Nerdlinger
1178.0,Scholar
1180.0,Jock
1181.0,Skinny Student
1182.0,Dean Bobby Peterson
1183.0,Professor
1184.0,Architect
1185.0,Men
1186.0,Dean
1187.0,Doug
1188.0,Gary
1189.0,Benjamin
1190.0,Automated Voice
1191.0,Guards
1192.0,7-YEAR OLD BURNS
1193.0,Burns' Mother
1194.0,Burns's Father
1195.0,George Burns
1196.0,Jimmy Carter
1197.0,George H.W. Bush
1198.0,RAMONE #1
1199.0,RAMONE #2
1200.0,RAMONE #3
1201.0,RAMONE #4
1202.0,Drummer
1203.0,Mechanic
1204.0,Explorer
1205.0,Bear
1206.0,Workman
1207.0,Workman #2
1208.0,Hooded Man
1209.0,Dinosaur
1210.0,Mr. Boswell
1211.0,Pieces Of Homer
1212.0,Demon Technician
1213.0,Skeleton Judge
1214.0,Blackbeard
1215.0,Benedict Arnold
1216.0,Lizzie Borden
1217.0,KODO
1218.0,Exchange Student
1220.0,GROUNDKEEPER WILLIE
1222.0,Humorist
1223.0,Edward
1224.0,The Pope
1225.0,RUTH
1226.0,Scientist
1227.0,Technician #1
1228.0,Technician #2
1229.0,Lady
1230.0,Tape Player
1231.0,Lenny's Wife
1232.0,Tough Guy
1233.0,Mohawk Girl
1235.0,Woman #3
1236.0,Woman #4
1237.0,Fry Cook
1238.0,Diner Owner
1239.0,GOODMAN
1240.0,Flanders' Inner Child
